,STATENAME,UV_ Wh/mÂ²
0,Alabama,4505.164179104478
1,Arizona,5528.466666666666
2,Arkansas,4515.346666666666
3,California,4871.413793103448
4,Colorado,4802.730158730159
5,Connecticut,3832.5
6,Delaware,4074.0
7,District of Columbia,4100.0
8,Florida,4743.671641791045
9,Georgia,4563.974842767296
10,Idaho,4170.545454545455
11,Illinois,4117.4607843137255
12,Indiana,4019.3804347826085
13,Iowa,4053.5454545454545
14,Kansas,4572.047619047619
15,Kentucky,4113.825
16,Louisiana,4557.875
17,Maine,3779.375
18,Maryland,4057.1666666666665
19,Massachusetts,3874.785714285714
20,Michigan,3715.867469879518
21,Minnesota,3841.022988505747
22,Mississippi,4518.817073170731
23,Missouri,4308.339130434782
24,Montana,3927.964285714286
25,Nebraska,4350.763440860215
26,Nevada,4977.0
27,New Hampshire,3841.5
28,New Jersey,3951.095238095238
29,New Mexico,5439.69696969697
30,New York,3745.1290322580644
31,North Carolina,4352.17
32,North Dakota,3902.1132075471696
33,Ohio,3842.056818181818
34,Oklahoma,4714.7532467532465
35,Oregon,3977.777777777778
36,Pennsylvania,3809.208955223881
37,Rhode Island,3881.4
38,South Carolina,4525.021739130435
39,South Dakota,4111.742424242424
40,Tennessee,4278.578947368421
41,Texas,4917.952755905511
42,Utah,4737.551724137931
43,Vermont,3744.0714285714284
44,Virginia,4181.985074626866
45,Washington,3594.102564102564
46,West Virginia,3892.3636363636365
47,Wisconsin,3810.7083333333335
48,Wyoming,4350.521739130435
